Country,Income,LifeExpectancy,ChildrenBorn,ChildMortality,Sugar,MarriageAge,Continent
United Kingdom,38901,81.1,1.892,4.6,112.33,29.75,Europe
United States,53273,79.1,1.976,6.9,191.78,25.3,NorthAmerica
Uruguay,20047,77,2.046,11.1,104.11,23.3,SouthAmerica
Uzbekistan,6039,72.1,2.309,42.5,10.96,20.58,Asia
Vanuatu,2856,65.1,.,.,.,22.61,.
Venezuela,15753,74.8,2.39,14.9,98.63,22.75,SouthAmerica
West Bank and Gaza,2685,74.7,4.01,21.8,90.41,22.86,Asia
Vietnam,5955,75.6,1.743,23.8,35.62,23.21,Asia
Virgin Islands (U.S.),.,80.82,2.487,.,.,29.91,NorthAmerica
"Yemen, Rep.",2325,64.92,4.075,51.3,65.75,21.67,Asia
Zambia,3636,57.1,5.687,87.4,46.58,20.53,Africa
Zimbabwe,1860,61.69,3.486,88.5,104.11,21.03,Africa
